,session,str,pfc,peak,peak_width,counts_in_peak
0,AKED0520210725,str_1,pfc_73,23,0.0025,72.0
1,AKED0520210725,str_10,pfc_21,25,0.003,83.0
2,AKED0520210725,str_19,pfc_33,25,0.002,59.0
3,AKED0520210725,str_31,pfc_48,25,0.002,69.0
4,AKED0520210725,str_32,pfc_4,22,0.0015,50.0
5,AKED0520210725,str_33,pfc_74,26,0.002,54.0
6,AKED0520210725,str_38,pfc_74,23,0.0025,112.0
7,AKED0520210725,str_4,pfc_17,24,0.002,66.0
8,AKED0520210725,str_43,pfc_64,24,0.0015,72.0
9,AKED0520210725,str_44,pfc_40,26,0.003,84.0
10,AKED0520210725,str_47,pfc_67,23,0.0015,77.0
11,AKED0520210725,str_55,pfc_30,26,0.0025,90.0
12,AKED0520210725,str_58,pfc_17,24,0.0015,45.0
13,AKED0520210725,str_6,pfc_71,25,0.002,81.0
14,AKED0520210725,str_61,pfc_21,26,0.0025,80.0
15,AKED0520210725,str_64,pfc_62,23,0.0015,36.0
16,AKED0520210725,str_67,pfc_61,22,0.0015,42.0
17,AKED0520210725,str_68,pfc_39,22,0.0015,42.0
18,AKED0520210725,str_69,pfc_14,23,0.002,46.0
