leftP,rightP,trial_response_side,trial_reward,cue_time,reward_time
0.85,0.05,-1.0,0.0,42.1112,
0.85,0.05,,,44.9794,
0.85,0.05,-1.0,1.0,53.09405,58.33495
0.85,0.05,-1.0,1.0,60.8079,63.6447
0.85,0.05,-1.0,1.0,65.7203,70.81845
0.85,0.05,,,73.60605,
0.85,0.05,-1.0,1.0,81.71055,83.59325
0.85,0.05,,,86.279,
0.85,0.05,,,94.38395,
0.85,0.05,1.0,0.0,103.14135,
0.85,0.05,1.0,0.0,113.4713,
0.85,0.05,,,122.27925,
0.85,0.05,,,130.38045,
0.85,0.05,,,138.4831,
0.85,0.05,,,146.5866,
0.85,0.05,-1.0,0.0,154.6933,
0.85,0.05,-1.0,1.0,158.8775,164.80015
0.85,0.05,,,167.27295,
0.85,0.05,-1.0,1.0,175.38805,176.47605
0.85,0.05,-1.0,1.0,178.55155,181.96985
0.85,0.05,-1.0,1.0,184.34245,187.5098
0.85,0.05,,,190.18955,
0.85,0.05,-1.0,1.0,200.0017,200.3297
0.85,0.05,-1.0,1.0,202.6037,203.0686
0.85,0.05,-1.0,1.0,205.1406,211.46795
0.85,0.05,-1.0,1.0,216.35205,216.78085
0.85,0.05,-1.0,1.0,221.07235,221.73175
0.85,0.05,-1.0,1.0,224.205,224.9895
0.85,0.05,-1.0,0.0,227.26275,
0.85,0.05,-1.0,1.0,231.1283,234.00125
0.85,0.05,-1.0,1.0,236.0748,236.909
0.85,0.05,1.0,0.0,241.6462,
0.85,0.05,-1.0,1.0,244.7986,245.87135
0.85,0.05,-1.0,1.0,248.3444,248.53305
0.85,0.05,-1.0,1.0,250.8079,250.9615
0.85,0.05,-1.0,1.0,255.4962,255.9825
0.85,0.05,-1.0,1.0,258.65485,259.04975
0.85,0.05,-1.0,1.0,265.56215,266.08775
0.85,0.05,1.0,0.0,268.46335,
0.85,0.05,-1.0,1.0,271.11615,271.6173
0.85,0.05,1.0,0.0,273.8911,
0.85,0.05,-1.0,0.0,276.7384,
0.85,0.05,-1.0,1.0,279.8901,280.7978
0.85,0.05,-1.0,1.0,282.87265,285.889
0.85,0.05,1.0,0.0,288.26255,
0.85,0.05,1.0,1.0,292.00045,295.15585
0.85,0.05,-1.0,1.0,297.62915,298.5058
0.85,0.05,-1.0,0.0,300.979,
0.85,0.05,1.0,0.0,304.1764,
0.85,0.05,-1.0,1.0,307.469,310.0807
0.85,0.05,-1.0,1.0,312.35635,313.18505
0.85,0.05,-1.0,1.0,315.26125,315.7263
0.85,0.05,-1.0,1.0,318.20065,318.37945
0.85,0.05,-1.0,1.0,324.1926,325.3054
0.85,0.05,-1.0,1.0,327.58035,328.88975
0.85,0.05,,,330.9632,
0.85,0.05,-1.0,1.0,340.65745,344.00655
0.85,0.05,-1.0,1.0,346.38015,346.9087
0.85,0.05,-1.0,0.0,349.38255,
0.85,0.05,-1.0,1.0,352.15265,354.92415
0.85,0.05,1.0,0.0,357.00005,
0.85,0.05,-1.0,1.0,360.0053,361.0684
0.85,0.05,-1.0,1.0,363.44005,364.16605
0.85,0.05,-1.0,1.0,366.43945,366.90625
0.85,0.05,-1.0,1.0,371.0869,375.21535
0.85,0.05,-1.0,1.0,379.639,380.48395
0.85,0.05,-1.0,1.0,382.56035,383.26175
0.85,0.05,-1.0,1.0,385.5344,385.89935
0.85,0.05,-1.0,1.0,389.71955,391.3981
0.85,0.05,-1.0,0.0,393.77455,
0.85,0.05,-1.0,1.0,396.60355,399.34955
0.85,0.05,-1.0,1.0,401.72225,402.31775
0.85,0.05,-1.0,1.0,407.24295,410.7574
0.85,0.05,-1.0,1.0,413.03325,413.2387
0.85,0.05,-1.0,1.0,415.31735,415.7376
0.85,0.05,1.0,0.0,420.1949,
0.85,0.05,-1.0,0.0,423.27955,
0.85,0.05,,,433.3632,
0.85,0.05,-1.0,0.0,441.4655,
0.85,0.05,,,445.6242,
0.85,0.05,,,456.1866,
0.85,0.05,1.0,0.0,464.28805,
0.85,0.05,,,467.9497,
0.85,0.05,-1.0,1.0,477.3277,482.42485
0.85,0.05,-1.0,1.0,484.70345,485.22675
0.85,0.05,,,493.09045,
0.85,0.05,-1.0,1.0,501.193,501.83435
0.85,0.05,-1.0,1.0,504.31165,504.80985
0.85,0.05,-1.0,1.0,507.18445,507.63515
0.85,0.05,-1.0,1.0,509.9102,510.3564
0.85,0.05,-1.0,1.0,515.44075,515.7917
0.05,0.9,-1.0,0.0,519.0486,
0.05,0.9,,,522.48615,
0.05,0.9,-1.0,0.0,530.5911,
0.05,0.9,-1.0,0.0,533.5421,
0.05,0.9,,,542.4239,
0.05,0.9,,,550.53035,
0.05,0.9,,,558.635,
0.05,0.9,,,566.7372,
0.05,0.9,,,574.83945,
0.05,0.9,,,582.94345,
0.05,0.9,,,591.0564,
0.05,0.9,-1.0,0.0,599.1595,
0.05,0.9,,,604.73115,
0.05,0.9,,,612.83415,
0.05,0.9,-1.0,0.0,627.989,
0.05,0.9,,,633.9917,
0.05,0.9,-1.0,0.0,642.0927,
0.05,0.9,,,649.727,
0.05,0.9,,,657.8301,
0.05,0.9,,,665.93205,
0.05,0.9,,,674.0361,
0.05,0.9,,,682.1371,
0.05,0.9,-1.0,0.0,690.24015,
0.05,0.9,-1.0,0.0,697.9303,
0.05,0.9,,,705.296,
0.05,0.9,,,713.3981,
0.05,0.9,,,721.50125,
0.05,0.9,,,729.6027,
0.05,0.9,,,737.70965,
0.05,0.9,,,745.8137,
0.05,0.9,,,753.91585,
0.05,0.9,-1.0,0.0,762.0189,
0.05,0.9,1.0,1.0,769.63085,769.84325
0.05,0.9,-1.0,0.0,776.19075,
0.05,0.9,-1.0,0.0,778.84005,
0.05,0.9,-1.0,0.0,783.5506,
0.05,0.9,,,786.28425,
0.05,0.9,,,794.38835,
0.05,0.9,-1.0,0.0,802.49145,
0.05,0.9,-1.0,0.0,812.96915,
0.05,0.9,-1.0,0.0,817.26075,
0.05,0.9,-1.0,1.0,820.4802,820.8398
0.05,0.9,-1.0,0.0,823.31335,
0.05,0.9,,,826.1277,
0.05,0.9,,,834.23045,
0.05,0.9,,,842.3324,
0.05,0.9,-1.0,0.0,850.43395,
0.05,0.9,,,855.0501,
0.05,0.9,,,863.158,
0.05,0.9,-1.0,0.0,871.2601,
0.05,0.9,,,880.00935,
0.05,0.9,1.0,1.0,888.1622,892.91295
0.05,0.9,-1.0,0.0,896.8373,
0.05,0.9,1.0,0.0,899.38555,
0.05,0.9,,,902.2089,
0.05,0.9,,,910.3109,
0.05,0.9,,,918.41595,
0.05,0.9,,,930.9121,
0.05,0.9,-1.0,0.0,939.0122,
0.05,0.9,,,941.6819,
0.05,0.9,,,949.78295,
0.05,0.9,-1.0,0.0,957.88645,
0.05,0.9,,,965.17025,
0.05,0.9,,,973.27235,
0.05,0.9,,,981.3753,
0.05,0.9,-1.0,0.0,991.13285,
0.05,0.9,-1.0,0.0,998.5971,
0.05,0.9,,,1007.07865,
0.05,0.9,,,1015.17945,
0.05,0.9,,,1023.2825,
0.05,0.9,-1.0,0.0,1031.38505,
0.05,0.9,1.0,1.0,1039.9069,1041.341
0.05,0.9,,,1047.41025,
0.05,0.9,1.0,1.0,1057.37025,1057.87885
0.05,0.9,1.0,0.0,1060.15425,
0.05,0.9,,,1064.9618,
0.05,0.9,-1.0,0.0,1073.06535,
0.05,0.9,,,1077.7237,
0.05,0.9,,,1085.8238,
0.05,0.9,,,1093.9279,
0.05,0.9,,,1102.02985,
0.05,0.9,1.0,1.0,1112.59085,1113.0256
