leftP,rightP,trial_response_side,trial_reward,cue_time
0.8,0.2,1.0,1.0,11.84295
0.8,0.2,1.0,0.0,15.50135
0.8,0.2,1.0,0.0,18.2987
0.8,0.2,1.0,0.0,20.5976
0.8,0.2,1.0,0.0,23.4888
0.8,0.2,1.0,0.0,26.12165
0.8,0.2,1.0,0.0,29.28675
0.8,0.2,1.0,1.0,31.97585
0.8,0.2,1.0,0.0,34.7528
0.8,0.2,1.0,1.0,38.4854
0.8,0.2,1.0,0.0,42.50445
0.8,0.2,1.0,0.0,45.07355
0.8,0.2,1.0,0.0,47.42055
0.8,0.2,1.0,0.0,50.1762
0.8,0.2,1.0,1.0,52.7942
0.8,0.2,1.0,0.0,55.6961
0.8,0.2,1.0,0.0,58.7119
0.8,0.2,1.0,0.0,61.5267
0.8,0.2,1.0,0.0,64.5154
0.8,0.2,1.0,0.0,67.081
0.8,0.2,1.0,0.0,69.2264
0.8,0.2,1.0,0.0,72.1528
0.8,0.2,1.0,0.0,74.45205
0.8,0.2,1.0,1.0,76.9607
0.8,0.2,1.0,0.0,79.59455
0.8,0.2,1.0,0.0,82.34025
0.8,0.2,1.0,0.0,85.018
0.8,0.2,1.0,0.0,87.299
0.8,0.2,1.0,0.0,89.86805
0.8,0.2,1.0,0.0,92.4935
0.8,0.2,1.0,0.0,95.39465
0.8,0.2,1.0,1.0,98.3197
0.8,0.2,1.0,0.0,101.43155
0.8,0.2,1.0,1.0,104.12425
0.8,0.2,-1.0,0.0,107.54355
0.8,0.2,-1.0,1.0,112.8842
0.8,0.2,-1.0,0.0,118.5599
0.8,0.2,1.0,0.0,122.32025
0.8,0.2,1.0,0.0,125.3959
0.8,0.2,1.0,0.0,128.29405
0.8,0.2,1.0,0.0,133.20175
0.8,0.2,1.0,0.0,135.8306
0.8,0.2,1.0,1.0,139.13565
0.8,0.2,1.0,0.0,141.83035
0.8,0.2,1.0,0.0,144.3421
0.8,0.2,1.0,0.0,147.5315
0.8,0.2,1.0,0.0,150.1589
0.8,0.2,1.0,0.0,152.89515
0.8,0.2,1.0,0.0,156.20635
0.8,0.2,1.0,0.0,158.74635
0.8,0.2,-1.0,1.0,161.70425
0.8,0.2,-1.0,1.0,167.7955
0.8,0.2,-1.0,1.0,170.7581
0.8,0.2,-1.0,1.0,174.60605
0.8,0.2,-1.0,1.0,177.24975
0.8,0.2,-1.0,1.0,184.1612
0.8,0.2,-1.0,1.0,186.5126
0.8,0.2,-1.0,1.0,194.07385
0.8,0.2,-1.0,0.0,200.0823
0.8,0.2,-1.0,1.0,202.41905
0.8,0.2,-1.0,1.0,207.8396
0.8,0.2,-1.0,1.0,212.5952
0.8,0.2,-1.0,0.0,218.24585
0.8,0.2,-1.0,1.0,220.9864
0.8,0.2,-1.0,1.0,224.29245
0.8,0.2,-1.0,1.0,229.83945
0.8,0.2,-1.0,1.0,235.62235
0.8,0.2,-1.0,1.0,239.35425
0.8,0.2,-1.0,1.0,245.44585
0.8,0.2,-1.0,0.0,250.2399
0.8,0.2,-1.0,1.0,252.7456
0.8,0.2,-1.0,1.0,258.8031
0.8,0.2,-1.0,1.0,264.3921
0.8,0.2,-1.0,1.0,269.12235
0.8,0.2,-1.0,1.0,274.06415
0.2,0.7,-1.0,0.0,281.3124
0.2,0.7,-1.0,0.0,283.95485
0.2,0.7,-1.0,0.0,286.4337
0.2,0.7,-1.0,0.0,290.8558
0.2,0.7,-1.0,1.0,293.61145
0.2,0.7,-1.0,0.0,298.1661
0.2,0.7,-1.0,0.0,301.0986
0.2,0.7,-1.0,0.0,305.3717
0.2,0.7,1.0,0.0,308.06045
0.2,0.7,-1.0,0.0,310.61555
0.2,0.7,-1.0,0.0,313.57145
0.2,0.7,-1.0,0.0,316.36295
0.2,0.7,1.0,1.0,319.0965
0.2,0.7,-1.0,0.0,325.29295
0.2,0.7,-1.0,0.0,328.236
0.2,0.7,-1.0,0.0,330.5318
0.2,0.7,-1.0,0.0,333.1467
0.2,0.7,-1.0,0.0,339.3972
0.2,0.7,1.0,1.0,342.8183
0.2,0.7,-1.0,1.0,347.8243
0.2,0.7,-1.0,1.0,350.0981
0.2,0.7,1.0,0.0,358.78455
0.2,0.7,-1.0,1.0,362.1958
0.2,0.7,1.0,1.0,366.93495
0.2,0.7,-1.0,0.0,370.33795
0.2,0.7,-1.0,0.0,373.293
0.2,0.7,1.0,1.0,376.62035
0.2,0.7,-1.0,0.0,380.5407
0.2,0.7,-1.0,0.0,383.35505
0.2,0.7,1.0,1.0,386.62325
0.2,0.7,1.0,0.0,392.43105
0.2,0.7,1.0,0.0,395.3228
0.2,0.7,1.0,1.0,397.8559
0.2,0.7,1.0,1.0,400.60805
0.2,0.7,1.0,0.0,407.658
0.2,0.7,1.0,1.0,410.59775
0.2,0.7,1.0,1.0,413.2499
0.2,0.7,1.0,1.0,417.0416
0.2,0.7,1.0,0.0,419.3822
0.2,0.7,1.0,1.0,421.6692
0.2,0.7,1.0,1.0,426.2298
0.2,0.7,1.0,1.0,430.83645
0.2,0.7,1.0,1.0,433.5134
0.2,0.7,1.0,1.0,436.59905
0.2,0.7,1.0,0.0,443.9036
0.2,0.7,1.0,1.0,446.4812
0.2,0.7,1.0,1.0,448.81325
0.2,0.7,1.0,1.0,452.5706
0.2,0.7,1.0,1.0,458.9275
0.2,0.7,1.0,0.0,461.3974
0.2,0.7,1.0,0.0,464.7204
0.2,0.7,1.0,0.0,467.30335
0.2,0.7,1.0,0.0,469.5958
0.2,0.7,1.0,1.0,472.50195
0.2,0.7,1.0,0.0,476.63125
0.2,0.7,1.0,1.0,478.9998
0.2,0.7,1.0,1.0,481.60275
0.2,0.7,1.0,1.0,488.4573
0.2,0.7,1.0,1.0,492.48935
0.2,0.7,1.0,1.0,495.1831
0.85,0.2,1.0,0.0,499.17535
0.85,0.2,1.0,0.0,501.77085
0.85,0.2,1.0,0.0,504.4804
0.85,0.2,1.0,0.0,506.77605
0.85,0.2,1.0,0.0,509.57645
0.85,0.2,1.0,0.0,512.57835
0.85,0.2,1.0,0.0,515.9063
0.85,0.2,1.0,0.0,527.5373
0.85,0.2,1.0,0.0,530.7027
0.85,0.2,-1.0,1.0,534.3623
0.85,0.2,-1.0,1.0,541.8008
0.85,0.2,-1.0,0.0,549.73325
