Transition Times,Cue Times, No Reward Times, Reward Times
35.037650,36.086800,34.967750,37.718200
36.068800,40.394850,35.015650,42.471550
36.082750,44.751050,35.065500,45.445000
36.122700,47.919300,35.115400,48.605850
37.710250,50.680250,35.165250,51.084150
37.743150,53.459000,35.215100,53.823950
39.355650,56.098400,35.265000,56.473350
39.371650,59.149900,35.314850,59.596650
40.376900,61.670050,35.364700,62.164650
40.390850,64.538250,35.414600,64.877300
40.426750,67.695250,35.464450,67.944150
42.463500,70.619850,35.514300,70.908100
42.495400,73.183550,35.564150,73.329100
43.705800,75.802250,35.614050,76.046800
43.721800,80.092550,35.663900,80.410900
44.727050,82.484750,35.713800,82.762600
44.747050,88.686900,35.763650,91.587350
44.784900,91.465050,35.813500,100.649600
45.437150,93.861950,35.863350,103.995300
45.468100,96.308900,35.913200,107.590600
46.880250,100.429200,35.963100,109.831050
46.896200,103.590250,36.012950,113.565100
47.901450,107.293450,36.062850,121.198050
47.915450,109.664000,36.112700,124.593800
47.952300,113.361650,36.162550,130.134800
48.595850,116.905700,36.212000,133.999900
48.629850,120.777250,36.261850,137.032700
49.641050,124.252800,36.311300,142.341250
49.657000,129.789750,36.361150,145.228800
50.662300,133.882800,36.411000,148.734350
50.676250,136.675650,36.460650,152.025400
50.713150,142.083400,36.510500,159.741600
51.076200,144.813850,36.560350,166.440150
51.108050,148.583650,36.610200,169.122550
52.419800,151.935700,36.660050,174.237150
52.435700,154.101800,36.709950,184.273950
53.441000,156.907250,36.759800,187.797400
53.454950,159.654050,36.809650,191.702750
53.492850,162.215550,36.859550,196.875800
53.815950,166.199800,36.913400,200.378300
53.847900,168.714900,36.963250,203.199250
55.059200,171.196900,37.013100,207.240500
55.075150,173.968900,37.063000,209.606050
56.080450,176.309550,37.112850,212.909300
56.094400,180.626400,37.162700,215.882400
56.131250,183.932400,37.212550,221.162600
56.465350,187.464350,37.262450,223.594250
56.499300,191.348200,37.312300,229.801750
58.109650,196.540700,37.362150,232.883400
58.125650,200.223700,37.411050,235.304800
59.130950,202.852800,37.460950,241.903000
59.145850,206.892450,37.510750,245.676150
59.181850,209.513350,37.560650,248.153350
59.588650,212.827950,37.610500,252.464950
59.620600,215.585200,37.660350,255.286850
60.630850,218.155250,37.710250,257.894250
60.646800,221.078800,37.759100,260.259350
61.652050,223.237250,37.808950,263.238550
61.666050,229.567050,37.858850,266.779850
61.704000,232.544350,37.908700,275.905900
62.154700,234.958800,37.958550,279.117050
