Transition Times,Cue Times,Reward Times
35.037650,36.086800,
36.068800,40.394850,
36.082750,44.751050,
36.122700,47.919300,
37.710250,50.680250,
37.743150,53.459000,
39.355650,56.098400,
39.371650,59.149900,
40.376900,61.670050,
40.390850,64.538250,
40.426750,67.695250,
42.463500,70.619850,
42.495400,73.183550,
43.705800,75.802250,
43.721800,80.092550,
44.727050,82.484750,
44.747050,88.686900,
44.784900,91.465050,
45.437150,93.861950,
45.468100,96.308900,
46.880250,100.429200,
46.896200,103.590250,
47.901450,107.293450,
47.915450,109.664000,
47.952300,113.361650,
48.595850,116.905700,
48.629850,120.777250,
49.641050,124.252800,
49.657000,129.789750,
50.662300,133.882800,
50.676250,136.675650,
50.713150,142.083400,
51.076200,144.813850,
51.108050,148.583650,
52.419800,151.935700,
52.435700,154.101800,
53.441000,156.907250,
53.454950,159.654050,
53.492850,162.215550,
53.815950,166.199800,
53.847900,168.714900,
55.059200,171.196900,
55.075150,173.968900,
56.080450,176.309550,
56.094400,180.626400,
56.131250,183.932400,
56.465350,187.464350,
56.499300,191.348200,
58.109650,196.540700,
58.125650,200.223700,
59.130950,202.852800,
59.145850,206.892450,
59.181850,209.513350,
59.588650,212.827950,
59.620600,215.585200,
60.630850,218.155250,
60.646800,221.078800,
61.652050,223.237250,
61.666050,229.567050,
61.704000,232.544350,
62.154700,234.958800,
62.188600,241.574300,
63.499050,245.575300,
63.515000,248.049350,
64.520350,252.181700,
64.534250,254.938850,
64.572150,257.559300,
64.869350,259.971600,
64.901300,262.933400,
66.313000,266.616900,
66.327000,268.853500,
66.512450,272.300700,
66.666000,275.483100,
67.677300,278.719150,
67.691250,282.246650,
67.728150,285.394100,
67.936100,287.972750,
67.968000,291.715700,
69.579650,295.600200,
69.595600,300.071500,
70.599900,302.839000,
70.615800,305.247500,
70.652750,308.215450,
70.900100,311.166450,
70.931950,313.826400,
72.144300,316.866700,
72.160300,321.117200,
73.163500,323.691050,
73.179450,326.947950,
73.215400,329.761350,
73.321100,332.466200,
73.353000,335.462700,
74.763200,338.852100,
74.779200,341.844950,
75.784400,345.800200,
75.798400,348.455550,
75.835250,355.392250,
76.038750,358.336950,
76.070650,361.080900,
