session,dms,pfc
AKED0520210725,dms_23,pfc_65
AKED0420210804,dms_4,pfc_54
AKED0520210725,dms_52,pfc_12
AKED0220210801,dms_73,pfc_48
AKED0120210723,dms_8,pfc_80
AKED0520210725,dms_47,pfc_3
AKED0220210801,dms_60,pfc_55
AKED0520210715,dms_4,pfc_12
AKED0220210731,dms_10,pfc_81
AKED0420210805,dms_11,pfc_35
AKED0420210803,dms_12,pfc_34
AKED0520210719,dms_9,pfc_34
AKED0620210804,dms_45,pfc_49
AKED0120210723,dms_6,pfc_49
AKED0220210801,dms_30,pfc_4
AKED0520210725,dms_56,pfc_45
AKED0420210802,dms_27,pfc_61
AKED0220210730,dms_20,pfc_58
AKED0520210725,dms_49,pfc_49
AKED0220210801,dms_63,pfc_40
AKED0520210726,dms_29,pfc_22
AKED0520210726,dms_31,pfc_30
AKED0120210723,dms_14,pfc_33
AKED0620210804,dms_80,pfc_57
AKED0220210730,dms_12,pfc_66
AKED0220210804,dms_13,pfc_20
AKED0620210804,dms_5,pfc_8
AKED0220210730,dms_49,pfc_19
AKED0220210730,dms_29,pfc_15
AKED0420210806,dms_1,pfc_10
AKED0220210804,dms_2,pfc_2
AKED0220210731,dms_7,pfc_39
AKED0120210723,dms_9,pfc_35
AKED0420210802,dms_5,pfc_42
AKED0520210726,dms_27,pfc_14
AKED0220210801,dms_79,pfc_39
AKED0620210804,dms_44,pfc_4
AKED0220210801,dms_78,pfc_85
AKED0520210715,dms_26,pfc_16
AKED0220210801,dms_84,pfc_60
AKED0520210715,dms_12,pfc_9
AKED0620210804,dms_26,pfc_25
AKED0620210804,dms_45,pfc_85
AKED0620210804,dms_93,pfc_74
AKED0120210801,dms_1,pfc_75
AKED0220210801,dms_61,pfc_51
AKED0520210726,dms_6,pfc_26
AKED0220210801,dms_72,pfc_30
AKED0420210802,dms_1,pfc_27
AKED0520210727,dms_19,pfc_40
AKED0620210804,dms_30,pfc_67
AKED0420210802,dms_24,pfc_24
AKED0520210726,dms_23,pfc_6
AKED0620210804,dms_7,pfc_54
AKED0620210804,dms_74,pfc_80
AKED0120210729,dms_11,pfc_4
AKED0620210803,dms_15,pfc_56
AKED0120210723,dms_28,pfc_84
AKED0620210803,dms_8,pfc_2
AKED0120210722,dms_12,pfc_16
AKED0220210801,dms_58,pfc_28
AKED0420210802,dms_59,pfc_53
AKED0620210804,dms_45,pfc_22
AKED0220210730,dms_6,pfc_37
AKED0420210804,dms_21,pfc_34
AKED0420210803,dms_2,pfc_54
AKED0520210726,dms_27,pfc_40
AKED0420210805,dms_27,pfc_4
AKED0420210802,dms_3,pfc_14
AKED0520210725,dms_58,pfc_17
AKED0520210715,dms_13,pfc_17
AKED0220210801,dms_29,pfc_3
AKED0520210725,dms_24,pfc_16
AKED0520210725,dms_64,pfc_62
AKED0220210731,dms_10,pfc_46
AKED0420210802,dms_1,pfc_4
AKED0520210725,dms_4,pfc_17
AKED0520210725,dms_44,pfc_40
AKED0120210721,dms_2,pfc_7
AKED0220210803,dms_0,pfc_19
AKED0220210804,dms_12,pfc_27
AKED0620210804,dms_4,pfc_86
AKED0520210725,dms_43,pfc_64
AKED0120210722,dms_16,pfc_59
AKED0420210802,dms_25,pfc_20
AKED0520210720,dms_13,pfc_9
AKED0520210725,dms_57,pfc_18
AKED0520210719,dms_30,pfc_7
AKED0120210721,dms_0,pfc_6
AKED0620210804,dms_55,pfc_46
AKED0120210723,dms_19,pfc_60
AKED0220210730,dms_33,pfc_46
AKED0420210802,dms_38,pfc_52
AKED0220210803,dms_20,pfc_0
AKED0420210802,dms_39,pfc_23
AKED0520210726,dms_13,pfc_50
AKED0220210730,dms_39,pfc_15
AKED0220210801,dms_18,pfc_40
AKED0220210731,dms_25,pfc_40
AKED0520210715,dms_2,pfc_31
AKED0520210726,dms_12,pfc_9
AKED0520210725,dms_32,pfc_33
AKED0220210730,dms_28,pfc_53
AKED0220210803,dms_15,pfc_12
AKED0520210719,dms_15,pfc_26
AKED0520210725,dms_6,pfc_71
AKED0420210803,dms_26,pfc_5
AKED0120210722,dms_9,pfc_25
AKED0520210725,dms_2,pfc_55
AKED0520210715,dms_28,pfc_31
AKED0520210725,dms_34,pfc_74
AKED0220210804,dms_2,pfc_5
AKED0220210801,dms_58,pfc_67
AKED0420210805,dms_9,pfc_28
AKED0420210804,dms_0,pfc_13
AKED0420210805,dms_11,pfc_12
AKED0220210801,dms_35,pfc_59
AKED0220210803,dms_17,pfc_12
AKED0620210804,dms_85,pfc_60
