session_name, beta, b, alpha, nll, performance
AKED0120210801, 1.371, 0.894, 0.616, 150.997, 0.814
AKED0220210729, 1.174, -0.161, 0.323, 152.434, 0.835
AKED0120210728, 2.785, 2.730, 0.107, 113.524, 0.777
AKED0120210722, 2.341, 1.548, 0.179, 173.867, 0.787
AKED0120210721, 2.496, 0.414, 0.294, 136.897, 0.900
AKED0120210729, 2.017, 0.543, 0.345, 181.441, 0.860
AKED0120210723, 4.397, 2.310, 0.209, 160.561, 0.814
AKED0220210731, 2.934, -0.026, 0.228, 124.320, 0.913
AKED0220210802, 3.379, -1.141, 0.121, 139.802, 0.875
AKED0220210730, 3.983, -0.329, 0.220, 124.191, 0.892
AKED0220210801, 2.610, -0.815, 0.127, 184.982, 0.852
AKED0220210803, 2.859, -1.320, 0.133, 130.465, 0.800
AKED0420210802, 65.941, -0.510, 0.001, 162.673, 0.652
AKED0220210804, 3.089, -0.382, 0.224, 185.686, 0.888
AKED0420210806, 1.098, 0.072, 0.417, 143.580, 0.847
AKED0420210804, 1.671, -0.015, 0.079, 178.259, 0.788
AKED0520210715, 0.937, 2.282, 0.614, 93.258, 0.819
AKED0420210803, 4.011, 0.907, 0.018, 172.396, 0.764
AKED0520210716, 51.943, 2.566, 0.001, 166.677, 0.602
AKED0420210805, 52.725, 0.734, 0.001, 269.349, 0.740
AKED0520210719, 2.361, -0.871, 0.163, 243.407, 0.827
AKED0520210720, 22.327, -2.482, 0.001, 148.421, 0.733
AKED0520210725, 2.328, -0.074, 0.106, 180.062, 0.919
AKED0620210803, 1.100, -0.212, 0.133, 194.513, 0.812
AKED0520210726, 2.111, -0.498, 0.075, 217.538, 0.853
AKED0620210804, 2.405, -1.032, 0.042, 149.426, 0.755
AKED0520210727, 2.037, -0.746, 0.294, 264.181, 0.846
AKED0620210805, 23.425, -0.443, 0.001, 263.579, 0.671
AKED0620210806, 13.123, -2.807, 0.007, 255.215, 0.804 
