pfc,dms,session
pfc_28,dms_92,AKED0620210804
pfc_28,dms_8,AKED0620210804
pfc_28,dms_67,AKED0620210804
pfc_28,dms_76,AKED0620210804
pfc_28,dms_7,AKED0620210804
pfc_28,dms_35,AKED0620210804
pfc_28,dms_9,AKED0620210804
pfc_28,dms_83,AKED0620210804
pfc_28,dms_65,AKED0620210804
pfc_28,dms_71,AKED0620210804
pfc_28,dms_77,AKED0620210804
pfc_28,dms_91,AKED0620210804
pfc_28,dms_15,AKED0620210804
pfc_28,dms_79,AKED0620210804
pfc_28,dms_5,AKED0620210804
pfc_28,dms_40,AKED0620210804
pfc_28,dms_59,AKED0620210804
pfc_28,dms_6,AKED0620210804
pfc_28,dms_38,AKED0620210804
pfc_28,dms_84,AKED0620210804
pfc_28,dms_54,AKED0620210804
pfc_28,dms_60,AKED0620210804
pfc_28,dms_55,AKED0620210804
pfc_28,dms_74,AKED0620210804
pfc_28,dms_56,AKED0620210804
pfc_28,dms_69,AKED0620210804
pfc_28,dms_11,AKED0620210804
pfc_28,dms_68,AKED0620210804
pfc_28,dms_29,AKED0620210804
pfc_28,dms_37,AKED0620210804
pfc_28,dms_13,AKED0620210804
pfc_28,dms_20,AKED0620210804
pfc_28,dms_47,AKED0620210804
pfc_28,dms_19,AKED0620210804
pfc_28,dms_16,AKED0620210804
pfc_28,dms_27,AKED0620210804
pfc_28,dms_42,AKED0620210804
pfc_28,dms_2,AKED0620210804
pfc_28,dms_50,AKED0620210804
pfc_28,dms_32,AKED0620210804
pfc_28,dms_17,AKED0620210804
pfc_28,dms_64,AKED0620210804
pfc_28,dms_51,AKED0620210804
pfc_28,dms_85,AKED0620210804
pfc_28,dms_28,AKED0620210804
pfc_28,dms_23,AKED0620210804
pfc_28,dms_34,AKED0620210804
pfc_28,dms_93,AKED0620210804
pfc_28,dms_63,AKED0620210804
pfc_28,dms_46,AKED0620210804
pfc_28,dms_10,AKED0620210804
pfc_28,dms_81,AKED0620210804
pfc_28,dms_25,AKED0620210804
pfc_28,dms_12,AKED0620210804
pfc_28,dms_36,AKED0620210804
pfc_28,dms_30,AKED0620210804
pfc_28,dms_45,AKED0620210804
pfc_28,dms_70,AKED0620210804
pfc_28,dms_80,AKED0620210804
pfc_28,dms_49,AKED0620210804
pfc_28,dms_44,AKED0620210804
pfc_28,dms_75,AKED0620210804
pfc_28,dms_1,AKED0620210804
pfc_28,dms_73,AKED0620210804
pfc_28,dms_21,AKED0620210804
pfc_28,dms_89,AKED0620210804
pfc_28,dms_39,AKED0620210804
pfc_28,dms_53,AKED0620210804
pfc_28,dms_90,AKED0620210804
pfc_28,dms_87,AKED0620210804
pfc_28,dms_4,AKED0620210804
pfc_28,dms_78,AKED0620210804
pfc_28,dms_24,AKED0620210804
pfc_28,dms_31,AKED0620210804
pfc_28,dms_26,AKED0620210804
pfc_28,dms_72,AKED0620210804
pfc_28,dms_57,AKED0620210804
pfc_28,dms_52,AKED0620210804
pfc_28,dms_88,AKED0620210804
pfc_28,dms_43,AKED0620210804
pfc_28,dms_18,AKED0620210804
pfc_28,dms_86,AKED0620210804
pfc_28,dms_82,AKED0620210804
pfc_28,dms_41,AKED0620210804
pfc_28,dms_3,AKED0620210804
pfc_28,dms_58,AKED0620210804
pfc_28,dms_61,AKED0620210804
pfc_28,dms_14,AKED0620210804
pfc_28,dms_0,AKED0620210804
pfc_28,dms_66,AKED0620210804
pfc_28,dms_33,AKED0620210804
pfc_28,dms_62,AKED0620210804
pfc_28,dms_22,AKED0620210804
pfc_28,dms_48,AKED0620210804
pfc_69,dms_92,AKED0620210804
pfc_69,dms_8,AKED0620210804
pfc_69,dms_67,AKED0620210804
pfc_69,dms_76,AKED0620210804
pfc_69,dms_7,AKED0620210804
pfc_69,dms_35,AKED0620210804
pfc_69,dms_9,AKED0620210804
pfc_69,dms_83,AKED0620210804
pfc_69,dms_65,AKED0620210804
pfc_69,dms_71,AKED0620210804
pfc_69,dms_77,AKED0620210804
pfc_69,dms_91,AKED0620210804
pfc_69,dms_15,AKED0620210804
pfc_69,dms_79,AKED0620210804
