trial_index,leftP,rightP,responses,left_response_proportion,right_response_proportion,perceived_left,perceived_right,prpd,relative_values,chosen_high_reward_side,high_reward_proportion,reward_proportion
1,0.85,0.2,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1.0,1.0
2,0.85,0.2,-1.0,1.0,0.0,1.0,0.0,-1.0,-0.29435856427239393,True,1.0,1.0
3,0.85,0.2,-1.0,1.0,0.0,1.0,0.0,-1.0,-0.5020701641842829,True,1.0,1.0
4,0.85,0.2,-1.0,1.0,0.0,1.0,0.0,-1.0,-0.6486400757633862,True,1.0,1.0
5,0.85,0.2,-1.0,1.0,0.0,1.0,0.0,-1.0,-0.752065878604533,True,1.0,1.0
6,0.85,0.2,-1.0,1.0,0.0,1.0,0.0,-1.0,-0.8250474106126401,True,1.0,1.0
7,0.85,0.2,-1.0,1.0,0.0,1.0,0.0,-1.0,-0.876546203640441,True,1.0,0.9411764705882353
8,0.85,0.2,-1.0,1.0,0.0,1.0,0.0,-1.0,-0.9128858858908173,True,1.0,0.9444444444444444
9,0.85,0.2,-1.0,1.0,0.0,1.0,0.0,-1.0,-0.9385286714478578,True,1.0,0.8947368421052632
10,0.85,0.2,-1.0,1.0,0.0,1.0,0.0,-1.0,-0.956623283464383,True,1.0,0.85
11,0.85,0.2,-1.0,1.0,0.0,1.0,0.0,-1.0,-0.9693915914666578,True,1.0,0.8571428571428571
12,0.85,0.2,-1.0,1.0,0.0,1.0,0.0,-1.0,-0.9784014386571953,True,1.0,0.8571428571428571
13,0.85,0.2,-1.0,1.0,0.0,1.0,0.0,-1.0,-0.9847591601644126,True,1.0,0.8571428571428571
14,0.85,0.2,-1.0,1.0,0.0,1.0,0.0,-1.0,-0.9892454318967215,True,1.0,0.8571428571428571
15,0.85,0.2,-1.0,1.0,0.0,1.0,0.0,-1.0,-0.9924111311229723,True,1.0,0.8571428571428571
16,0.85,0.2,-1.0,1.0,0.0,1.0,0.0,-1.0,-0.9946449796700656,True,1.0,0.8095238095238095
17,0.85,0.2,-1.0,1.0,0.0,1.0,0.0,-1.0,-0.9962212757660346,True,1.0,0.8095238095238095
18,0.85,0.2,-1.0,1.0,0.0,0.9,0.0,-0.9,-0.702975011333932,True,1.0,0.8095238095238095
19,0.85,0.2,-1.0,1.0,0.0,0.9,0.0,-0.9,-0.7904068605506999,True,1.0,0.8095238095238095
20,0.85,0.2,-1.0,1.0,0.0,0.8,0.0,-0.8,-0.5577438318879455,True,1.0,0.8095238095238095
21,0.85,0.2,-1.0,1.0,0.0,0.7,0.0,-0.7,-0.3935671583016264,True,1.0,0.8095238095238095
22,0.85,0.2,-1.0,1.0,0.0,0.7,0.0,-0.7,-0.5720758589115876,True,1.0,0.8095238095238095
23,0.85,0.2,-1.0,1.0,0.0,0.7,0.0,-0.7,-0.69803899469987,True,1.0,0.8095238095238095
24,0.85,0.2,-1.0,1.0,0.0,0.7,0.0,-0.7,-0.7869238026862649,True,1.0,0.8095238095238095
25,0.85,0.2,-1.0,1.0,0.0,0.7,0.0,-0.7,-0.8496446062081573,True,1.0,0.8095238095238095
26,0.85,0.2,-1.0,0.9523809523809523,0.047619047619047616,0.7,0.0,-0.7,-0.8939030040553345,True,0.9523809523809523,0.7619047619047619
27,0.85,0.2,-1.0,0.9523809523809523,0.047619047619047616,0.6,0.0,-0.6,-0.6307749991828263,True,0.9523809523809523,0.7142857142857143
28,0.85,0.2,-1.0,0.9523809523809523,0.047619047619047616,0.7,0.0,-0.7,-0.739459540316843,True,0.9523809523809523,0.7619047619047619
29,0.85,0.2,-1.0,0.9523809523809523,0.047619047619047616,0.7,0.0,-0.7,-0.8161518559640466,True,0.9523809523809523,0.7142857142857143
30,0.85,0.2,-1.0,0.9523809523809523,0.047619047619047616,0.8,0.0,-0.8,-0.8702691316866141,True,0.9523809523809523,0.7619047619047619
31,0.85,0.2,-1.0,0.9523809523809523,0.047619047619047616,0.9,0.0,-0.9,-0.9084565238251534,True,0.9523809523809523,0.8095238095238095
32,0.85,0.2,-1.0,0.9523809523809523,0.047619047619047616,0.9,0.0,-0.9,-0.9354031300404854,True,0.9523809523809523,0.7619047619047619
33,0.85,0.2,-1.0,0.9523809523809523,0.047619047619047616,0.9,0.0,-0.9,-0.9544177719382586,True,0.9523809523809523,0.7619047619047619
34,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.9,0.0,-0.9,-0.9678352911468496,True,0.9047619047619048,0.7142857142857143
35,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.9,0.0,-0.9,-0.9773032486651025,True,0.9047619047619048,0.6666666666666666
36,0.85,0.2,1.0,0.9047619047619048,0.09523809523809523,0.9,0.0,-0.9,-0.9839842318016905,False,0.9047619047619048,0.6666666666666666
37,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.9,0.0,-0.9,-0.9839842318016905,True,0.9047619047619048,0.7142857142857143
38,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.9,0.0,-0.9,-0.6943400460618704,True,0.9047619047619048,0.7142857142857143
39,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.9,0.0,-0.9,-0.7843136712586642,True,0.9047619047619048,0.7142857142857143
40,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.8,0.0,-0.8,-0.5534442250477535,True,0.9047619047619048,0.7142857142857143
41,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.8,0.0,-0.8,-0.684891741830243,True,0.9047619047619048,0.7142857142857143
42,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.8,0.0,-0.8,-0.7776465562954675,True,0.9047619047619048,0.7142857142857143
43,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.7,0.0,-0.7,-0.5487396324729623,True,0.9047619047619048,0.7142857142857143
44,0.85,0.2,1.0,0.9047619047619048,0.09523809523809523,0.7,0.0,-0.7,-0.6815719863712539,False,0.9047619047619048,0.7142857142857143
45,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.7,0.0,-0.7,-0.6815719863712539,True,0.9047619047619048,0.7142857142857143
46,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.6,0.0,-0.6,-0.480945435014728,True,0.9047619047619048,0.6666666666666666
47,0.85,0.2,-1.0,0.9523809523809523,0.047619047619047616,0.6,0.0,-0.6,-0.6337335915428246,True,0.9523809523809523,0.7142857142857143
48,0.85,0.2,-1.0,0.9523809523809523,0.047619047619047616,0.6,0.0,-0.6,-0.741547245677485,True,0.9523809523809523,0.7619047619047619
49,0.85,0.2,-1.0,0.9523809523809523,0.047619047619047616,0.7,0.0,-0.7,-0.8176250273721063,True,0.9523809523809523,0.7619047619047619
50,0.85,0.2,-1.0,0.9523809523809523,0.047619047619047616,0.7,0.0,-0.7,-0.8713086624740702,True,0.9523809523809523,0.8095238095238095
51,0.85,0.2,-1.0,0.9523809523809523,0.047619047619047616,0.8,0.0,-0.8,-0.909190059822497,True,0.9523809523809523,0.8095238095238095
52,0.85,0.2,-1.0,0.9523809523809523,0.047619047619047616,0.8,0.0,-0.8,-0.9359207434348088,True,0.9523809523809523,0.8095238095238095
53,0.85,0.2,-1.0,0.9523809523809523,0.047619047619047616,0.8,0.0,-0.8,-0.9547830213969809,True,0.9523809523809523,0.8571428571428571
54,0.85,0.2,-1.0,0.9523809523809523,0.047619047619047616,0.9,0.0,-0.9,-0.9680930262993012,True,0.9523809523809523,0.8571428571428571
55,0.85,0.2,-1.0,1.0,0.0,0.9,0.0,-0.9,-0.9774851172681159,True,1.0,0.9047619047619048
56,0.85,0.2,-1.0,1.0,0.0,1.0,0.0,-1.0,-0.9841125658238347,True,1.0,0.9523809523809523
57,0.85,0.2,-1.0,1.0,0.0,0.9,0.0,-0.9,-0.6944306038655089,True,1.0,0.9523809523809523
58,0.85,0.2,-1.0,1.0,0.0,0.9,0.0,-0.9,-0.7843775725972402,True,1.0,0.9523809523809523
59,0.85,0.2,-1.0,1.0,0.0,0.9,0.0,-0.9,-0.847847880752445,True,1.0,0.9523809523809523
