bin_center,good_response_count,good_bg_count,bad_response_count,bad_bg_count
-3.0543261909900767,1100,907,685,667
-2.879793265790644,995,956,680,721
-2.7052603405912112,923,897,684,694
-2.5307274153917785,871,870,652,669
-2.3561944901923457,846,823,632,684
-2.181661564992913,824,786,658,654
-2.00712863979348,818,783,641,648
-1.8325957145940475,794,815,677,614
-1.6580627893946147,783,720,684,632
-1.483529864195182,861,760,633,626
-1.3089969389957492,845,805,639,626
-1.1344640137963165,894,834,712,712
-0.9599310885968836,936,971,660,679
-0.7853981633974508,973,1085,706,755
-0.6108652381980181,1048,1138,670,729
-0.4363323129985853,1113,1240,713,736
-0.26179938779915257,1243,1353,742,794
-0.08726646259971983,1343,1431,729,793
0.08726646259971292,1320,1438,655,786
0.2617993877991457,1267,1477,776,793
0.43633231299857844,1256,1400,679,732
0.6108652381980112,1194,1273,692,723
0.785398163397444,1152,1182,659,656
0.9599310885968767,1155,1113,669,708
1.1344640137963093,1159,1056,687,653
1.308996938995742,999,1032,664,643
1.4835298641951749,1053,1007,647,660
1.6580627893946076,1041,1065,698,623
1.8325957145940404,1085,1045,708,701
2.007128639793473,1091,1032,755,678
2.181661564992906,1129,989,799,723
2.3561944901923386,1095,1032,776,721
2.5307274153917714,1094,1129,795,736
2.705260340591204,1144,1080,764,723
2.879793265790637,1118,1089,709,718
3.0543261909900696,1114,1063,769,688
