trial_lag,cross_correlation,cross_correlation_sem
-50,3.604584894429945,2.7268225696774775
-49,3.0417231997079455,2.7456786147448
-48,2.3172271883789364,2.7700677553605484
-47,1.4701075670835724,2.7945072757775815
-46,0.7670030346792267,2.819830128833583
-45,0.08712166402553366,2.838981854194215
-44,-0.8718238629987445,2.857532492048224
-43,-1.658574948018866,2.8682699865897603
-42,-2.4187488896416345,2.885617827392458
-41,-3.2342416061593138,2.895209779609807
-40,-3.985573285549728,2.9070657555724946
-39,-4.8023059697417505,2.9118135498626287
-38,-5.528781899491361,2.9148698961109334
-37,-6.272119686974463,2.9224789261222197
-36,-7.079174500100576,2.9289972646340234
-35,-7.910565059731395,2.93603132407055
-34,-8.796771885462915,2.9496460154803166
-33,-9.51285135163712,2.9649691406862093
-32,-10.24602707779566,2.9762925162134586
-31,-10.95189973074115,2.9852781096974734
-30,-11.675417461219164,2.9929271079971325
-29,-12.279812564198318,2.997712572891044
-28,-13.06536363776863,3.0031949612897053
-27,-13.812906038184767,3.0125710666033365
-26,-14.373837379443628,3.020615402311816
-25,-14.800270655443267,3.0315916787080703
-24,-15.417966579276316,3.042535093859193
-23,-16.25573011552674,3.0523221684604622
-22,-17.200581494179954,3.068895740753638
-21,-18.079393167856942,3.0924482068412056
-20,-18.977858765350206,3.1211414474916257
-19,-19.973479908385492,3.1515226139416512
-18,-20.942246423727262,3.181950084831343
-17,-21.928388475902068,3.2070193445308894
-16,-23.206580629321106,3.232451274468759
-15,-24.603203935889507,3.258187570710363
-14,-26.072747821074675,3.2825673007614484
-13,-27.458161543189476,3.3114370287327546
-12,-28.657938917647915,3.3413520629211915
-11,-30.00414455115431,3.3682424555998014
-10,-31.24205209539429,3.390688830104623
-9,-32.50274874355511,3.408120402356577
-8,-33.538517216372334,3.421978896165198
-7,-34.57306367738341,3.4286392492682247
-6,-35.584512735484175,3.4433537833812586
-5,-36.60088853114778,3.453261867742517
-4,-37.622518483830895,3.4712788013923643
-3,-38.52059614216212,3.4874238500533186
-2,-39.472612736470836,3.505507041625513
-1,-40.28972846357091,3.5247048693009533
0,-40.81004457003106,3.539224305076584
1,-40.42090907779776,3.5062994022952654
2,-40.09621594364648,3.4713551007826076
3,-39.6992583937314,3.4323578065337617
4,-39.07208499158262,3.407130546533388
5,-38.18421364123565,3.37070222584338
6,-37.009373112565,3.3371454960613955
7,-35.8302797511386,3.3094289982340306
8,-34.752663015459476,3.286220005154504
9,-33.538344297567356,3.2600770014004485
10,-32.43646796642557,3.2425410110621202
11,-31.492772780431736,3.2335330804886655
12,-30.53336185711345,3.224471127612421
13,-29.61785337736118,3.220492344311107
14,-28.83182000080777,3.2183942926895566
15,-28.244643692180556,3.2076513227427625
16,-27.785295751372704,3.2023673963044987
17,-27.403570666715808,3.1906956535449087
18,-27.067628142813707,3.168698437658787
19,-26.69973522556999,3.148174928363072
20,-26.213421233566017,3.127219067972112
21,-25.69517567192885,3.1042651731244715
22,-25.133394580699505,3.0782241165193276
23,-24.385781985638552,3.053747584559803
24,-23.67487415269837,3.0246106415794745
25,-23.19718959095254,2.9934570667072755
26,-22.67993861710152,2.966191533764023
27,-22.38656668171946,2.9498663176616424
28,-22.035506300141698,2.9251992937267546
29,-21.69775179831102,2.9113083755504707
30,-21.15236883573098,2.906218158961533
31,-20.848649430337836,2.900650184707698
32,-20.43352242067409,2.890020323986351
33,-19.843999632413784,2.884344054764368
34,-19.39055853966691,2.871682242940095
35,-18.89920918125408,2.8613334321335553
36,-18.092707313839018,2.8490366730496186
37,-17.260273083472207,2.8431471097143324
38,-16.35366961381581,2.822863621183552
39,-15.54733732607405,2.808944803556414
40,-14.6526943254621,2.7956132549787975
41,-13.879497026224497,2.7784895185342413
42,-13.054607801561172,2.764893800675077
43,-12.3583332601452,2.742837770991144
44,-11.88414016950664,2.716441338555443
45,-11.284046257325098,2.6968065918660025
46,-10.69430331127204,2.676987317128166
47,-10.348185279704733,2.663628809144898
48,-9.937698620860566,2.65106395885904
49,-9.451726493436912,2.6456877981406164
50,-9.075601064325795,2.640960828545418
