,mouse,date,str_name,pfc_name,Stimulus_related_firing_P_value_str,Movement_related_firing_P_value_str,Reward_related_firing_P_value_str,BG_firing_CC_with_PPD_str,BG_firing_CC_with_PPD_P_value_str,Response_magnitude_CC_with_PPD_str,Response_magnitude_CC_with_PPD_P_value_str,Stimulus_related_firing_P_value_pfc,Movement_related_firing_P_value_pfc,Reward_related_firing_P_value_pfc,BG_firing_CC_with_PPD_pfc,BG_firing_CC_with_PPD_P_value_pfc,Response_magnitude_CC_with_PPD_pfc,Response_magnitude_CC_with_PPD_P_value_pfc
0,AKED01,20210722,str_15,pfc_12,0.686482926869945,0.6835101629465017,0.42845823454915577,0.15442899680800604,0.004257703294216052,0.16372740155242083,0.0024228807794193265,0.6991692813155825,0.24800072164664833,0.01153697009701524,-0.28274207451102146,1.0917573432552759e-07,-0.40971123502345663,3.0969894802918955e-15
1,AKED01,20210722,str_6,pfc_12,0.009493911668649255,3.836514232576891e-08,3.517405681275867e-05,-0.1703641006158932,0.0015910797944746326,-0.33411666028247,2.4510543214681483e-10,0.6991692813155825,0.24800072164664833,0.01153697009701524,-0.28274207451102146,1.0917573432552759e-07,-0.40971123502345663,3.0969894802918955e-15
2,AKED01,20210722,str_7,pfc_51,0.4195834341786222,1.7335193302662259e-06,0.00015728327906719197,0.30264396538527244,1.1810564209490363e-08,0.32365468792059665,9.343941006946065e-10,0.3010266171951954,0.29377802983102574,0.939846557500147,0.2734550864143027,2.9094236624212663e-07,0.30668206676401716,7.365048526078663e-09
3,AKED01,20210722,str_10,pfc_26,0.007246968336489804,0.0007327238412874047,0.23956749960079138,0.22221489346546658,3.468911344091684e-05,0.34023239143651357,1.0947296696576034e-10,0.001887723216496545,0.05049331639391647,0.3314857790244983,0.34654360437750326,4.676922441511644e-11,0.3565798373583489,1.162394538407944e-11
4,AKED01,20210728,str_3,pfc_4,0.03492947834244121,0.00024011173279431052,0.7913800606612383,0.5741871869324158,3.9043203023703456e-33,0.6559814311820624,6.603042513928911e-46,0.5238557169746312,0.5337761480593621,0.02922471272594712,0.3047092286924535,3.243502006305545e-09,0.36129251580818667,1.3292182537959131e-12
5,AKED01,20210801,str_9,pfc_29,0.14668033514091006,0.0011708291515889083,0.6741169703061481,0.25550980876704577,1.5017459484753892e-05,0.35339203667699054,1.1694838982740326e-09,0.4624185839920899,0.06827559876020432,0.14738520896942953,0.2725235410391276,3.697849553571507e-06,0.36005169397911474,5.390743058729926e-10
6,AKED02,20210729,str_6,pfc_25,0.3262509980765207,0.9596602566153667,0.14874603539043552,-0.1835792453512846,0.0013538547611969447,-0.19608197972442096,0.0006108853172047057,0.4245083412424586,8.026162195493692e-05,0.46906112925711285,-0.1996944509822513,0.00048093413760777964,-0.13942420221038976,0.015319313366936132
7,AKED02,20210730,str_21,pfc_59,0.5145042174802477,2.287559639513406e-15,1.0793576130097604e-05,0.28347790308871706,4.835816177549001e-08,0.5052540574274323,1.3599243482354012e-24,0.10265670235544366,2.1282740236129284e-10,0.0031015730391350973,0.13747251069197897,0.00920402296582505,0.14883695479219147,0.0047723219947182465
8,AKED02,20210730,str_50,pfc_50,1.0,8.418467296352094e-22,2.6882500248262727e-09,-0.2632638352727,4.345116226273471e-07,-0.45655055000117173,7.802056940936514e-20,0.15799236969750052,0.04391104960970066,0.8534727861276885,0.215681352101588,3.86934815689903e-05,0.2460944129030429,2.4443933134861986e-06
9,AKED02,20210801,str_1,pfc_21,0.1592289818410998,0.3175583641101709,0.053863408958331686,0.1920152862487278,0.00025772760888751367,0.2461430834030508,2.4328782512449226e-06,0.6303322245773106,0.0012316046009804653,0.0011670877659454395,0.33971095570614523,4.042004127037588e-11,0.5304003955830648,2.2966627264776766e-27
10,AKED02,20210801,str_44,pfc_61,0.7400969989055364,0.0670316127104696,0.07999656147178377,-0.17930292341799345,0.000653526698053035,-0.1940008219002124,0.00022164527031853727,0.02969682822093291,9.118626351572714e-06,0.15024581294249229,-0.23046817585812096,1.058568355176598e-05,-0.3175368406468072,7.902597547735015e-10
11,AKED02,20210801,str_5,pfc_32,0.48757719737277994,0.7939151903375128,0.8990240038246322,0.18309651546225286,0.0004982211817711279,0.24885894447444007,1.8664291095037793e-06,0.31893174464142715,0.004685926914222284,0.011255760608769491,-0.4755446994358863,1.3374972995870995e-21,-0.5059711702488177,1.1418277713298307e-24
12,AKED02,20210801,str_59,pfc_29,0.038939402148647544,0.17267808208613045,0.458091837590195,-0.19462663501518285,0.0002112896807992417,-0.24963865505958777,1.7286932795651227e-06,8.821275138499853e-05,0.3466659387675264,7.448567587163229e-08,0.2592085047612681,6.607909706304404e-07,0.35342983512767523,5.683775515473383e-12
13,AKED02,20210801,str_85,pfc_61,0.6026496644038866,0.7691220139313559,1.901352921225048e-09,0.27470532471978865,1.2817270754539622e-07,0.4160340195529433,2.038289966081324e-16,0.02969682822093291,9.118626351572714e-06,0.15024581294249229,-0.23046817585812096,1.058568355176598e-05,-0.3175368406468072,7.902597547735015e-10
14,AKED02,20210803,str_17,pfc_21,0.0016383366301676093,7.362344883940679e-06,0.19127437076529374,0.44422641656051537,6.845881235027522e-19,0.5611638248199872,2.4530599664111175e-31,0.04784533413968923,0.013876208958946078,0.0010608295080622688,-0.3581560220205177,2.292178613494723e-12,-0.3977290986304919,3.9299985292248225e-15
15,AKED02,20210803,str_25,pfc_23,0.0003552080093764626,4.454510571966228e-05,0.8289915116842204,0.2988715503535952,6.96470123150152e-09,0.31786544807951644,6.430757918879795e-10,0.3189317446414285,0.7077302085852296,0.5386010818667006,0.1790916700436877,0.0006293956244484764,0.2580916661325281,6.653720861881075e-07
16,AKED04,20210802,str_14,pfc_18,0.03849753028460921,0.17013215465241371,0.8306844667059602,-0.16143625621161994,0.001113296590419372,-0.1880871987119938,0.00014036838090886005,0.07285152640502127,0.0003778623179229457,0.18132199595475007,-0.1322710949063292,0.00768973285717712,-0.1774238906686681,0.00033315037429093597
17,AKED04,20210802,str_31,pfc_32,0.7714917438695247,0.3799021799409822,0.9539962035310556,-0.6363483976720024,2.3327031095855986e-47,-0.6641218399036795,7.41053090214441e-53,4.1259433629089456e-05,4.243843628021408e-06,0.015938629230831572,-0.20198155254204608,4.230546484414354e-05,-0.23048025284469587,2.769096886715556e-06
18,AKED04,20210802,str_31,pfc_62,0.7714917438695247,0.3799021799409822,0.9539962035310556,-0.6363483976720024,2.3327031095855986e-47,-0.6641218399036795,7.41053090214441e-53,0.02125061703846907,0.017620923789286,0.06510002170844582,0.5809744783195909,6.274745421970616e-38,0.6659020272510477,3.1420740057471273e-53
19,AKED04,20210802,str_39,pfc_53,0.9286570054041854,0.4445551232074263,0.503624095695855,0.6317484097775159,1.677400134110892e-46,0.7054778218310281,3.116888221147969e-62,0.00898641268830503,2.974013403084805e-11,4.0901078505873826e-05,-0.16652532937952966,0.0007670463844296286,-0.052089246396585825,0.2956783648489886
20,AKED04,20210802,str_40,pfc_24,0.3447777484066359,0.27374498373417744,0.28018883581585596,-0.40467113969277113,2.1697940259541756e-17,-0.4924828916964877,3.929973907143522e-26,0.9760560662442644,0.6233067111301506,0.9755986324932823,0.14176441864023212,0.004255332084469705,0.27551677869326335,1.7303956595537344e-08
21,AKED04,20210802,str_41,pfc_6,0.1344233242627888,0.07070562221191659,0.5119232774763242,-0.48840984213751104,1.1436290874803477e-25,-0.5438403250743917,1.5012837258097142e-32,0.9999999999999999,0.8928734908466824,6.163441772158483e-05,-0.3352157332406691,4.309057205360247e-12,-0.41728433964380807,1.705086319291205e-18
22,AKED04,20210802,str_7,pfc_27,0.032670291861197805,0.9332132439566142,0.0019291032037843019,0.5973024491881277,1.6094956976128255e-40,0.7186344537747231,1.4423789374993862e-65,0.010057016924357948,0.9160215465134055,0.7078850460940973,0.24121287865521207,9.013892833166161e-07,0.28134378581727704,8.351076389410577e-09
23,AKED04,20210803,str_39,pfc_9,0.012970965698966793,0.0004750795333326749,0.6427018546122083,-0.35108976397952174,1.0185870025230543e-15,-0.44877050480978525,9.386724445112831e-26,0.020542091841742924,7.557395514641413e-06,0.009225459926975741,0.2844630326757156,1.3023909167969075e-10,0.3638558404820202,7.576516328354972e-17
